Breed,Age,Height,Weight,Character Traits,Health_Problems
Australian Cattle Dog,14,46.99,19.27767573,"Alert, Curious, Pleasant","Hip dysplasia, eye problems, cancer"
Coton de Tulear,17,25.4,5.216312255,"Charming, Bright, Happy-Go-Lucky","Dental problems, eye issues, skin allergies"
Wire Fox Terrier,13.5,38.1,7.484274105,"Confident, Alert, Gregarious","Hip dysplasia, heart conditions, cancer"
American Foxhound,12,58.42,29.48350405,"Independent, Easy-Going, Sweet-Tempered","Dental problems, eye problems, bladder stones"
Belgian Tervuren,13,60.96,27.2155422,"Courageous, Alert, Intelligent","Hip dysplasia, epilepsy, bladder stones"
Sealyham Terrier,13,26.67,10.6594207,"Alert, Outgoing, Sense Of Humor","Dental problems, eye issues, skin allergies"
Tibetan Mastiff,11,63.5,49.8951607,"Independent, Reserved, Intelligent","Hip dysplasia, epilepsy, bladder stones"
Taiwan Dog,11,46.99,14.96854821,"Loyal, Versatile, Intelligent","Hip dysplasia, heart conditions, cancer"
Mudi,13,42.545,10.6594207,"Loyal, Intelligent, Active","Hip dysplasia, epilepsy, bladder stones"
Belgian Laekenois,11,60.96,27.2155422,"Affectionate, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Norwegian Elkhound,13.5,50.8,23.36000706,"Friendly, Confident, Dependable","Dental problems, skin allergies, hip dysplasia"
Lancashire Heeler,13.5,27.94,5.89670081,"Affectionate, Versatile, Intelligent","Dental problems, eye issues, skin allergies"
Soft Coated Wheaten Terrier,13,45.72,15.87573295,"Friendly, Happy, Deeply Devoted","Dental problems, eye issues, skin allergies"
Tibetan Terrier,15.5,39.37,10.88621688,"Affectionate, Loyal, Sensitive","Hip dysplasia, cancer, heart conditions"
Pudelpointer,14,60.96,26.08156128,"Friendly, Smart, Willing to Please","Dental problems, eye issues, skin allergies"
Bullmastiff,8,64.77,52.16312255,"Affectionate, Loyal, Brave","Dental problems, eye issues, skin allergies"
Cirneco dell’Etna,13,45.72,9.752235955,"Affectionate, Friendly, Independent","Dental problems, eye problems, skin allergies"
Mastiff,8,73.025,79.37866475,"Courageous, Dignified, Good-Natured","Intervertebral disc disease, hip dysplasia, diabetes"
Australian Kelpie,11.5,46.99,22.43197692,"Loyal, Alert, Intelligent","Dental problems, skin allergies, hip dysplasia"
Black and Tan Coonhound,11,63.5,39.68933238,"Easy-Going, Bright, Brave","Hip dysplasia, cancer, elbow dysplasia"
Icelandic Sheepdog,13,43.815,12.47379018,"Friendly, Playful, Inquisitive","Dental problems, eye issues, skin allergies"
Pembroke Welsh Corgi,12.5,27.94,13.15417873,"Affectionate, Smart, Alert","Dental problems, eye issues, skin allergies"
Australian Kelpie,11.5,46.99,22.43197692,"Loyal, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Miniature Schnauzer,13.5,33.02,7.030681735,"Friendly, Smart, Obedient","Hip dysplasia, heart conditions, cancer"
Catahoula Leopard Dog,12,58.42,32.88544683,"Loyal, Independent, Watchful","Dental problems, eye issues, skin allergies"
Pembroke Welsh Corgi,12.5,27.94,13.15417873,"Affectionate, Smart, Alert","Hip dysplasia, heart conditions, cancer"
Swedish Vallhund,13.5,32.0675,12.47379018,"Friendly, Energetic, Watchful","Eye problems, respiratory issues, obesity"
Pyrenean Shepherd,0,45.72,10.20582833,"Affectionate, Active, Enthusiastic","Dental problems, eye issues, skin allergies"
Central Asian Shepherd Dog,12.54054312,67.31,44.90564463,"Independent, Courageous, Self-Confident","Hip dysplasia, obesity, ear infections"
Rhodesian Ridgeback,10,64.77,35.15340868,"Affectionate, Dignified, Even-Tempered","Hip dysplasia, heart conditions, cancer"
Border Terrier,13.5,34.29,6.123496995,"Affectionate, Happy, Plucky","Dental problems, eye issues, skin allergies"
Miniature American Shepherd,12.5,39.37,13.6077711,"Good-Natured, Intelligent, Devoted","Ear infections, hip dysplasia, eye problems"
Working Kelpie,13.5,55.88,19.95806428,"Alert, Eager, Intelligent","Hip dysplasia, eye problems, cancer"
Papillon,15,24.13,3.401942775,"Friendly, Alert, Happy","Hip dysplasia, eye problems, cancer"
Spanish Water Dog,13,45.085,18.1436948,Playful but also Work-Oriented. Very Active and Upbeat.,"Dental problems, eye issues, skin allergies"
Australian Terrier,13,26.67,7.937866475,"Affectionate, Courageous, Spirited","Dental problems, eye problems, obesity"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Dental problems, eye issues, skin allergies"
Golden Retriever,11,57.785,29.48350405,"Friendly, Intelligent, Devoted","Dental problems, eye issues, skin allergies"
Whippet,13.5,50.8,14.74175203,"Affectionate, Playful, Calm","Dental problems, eye issues, skin allergies"
Akita,11.5,66.04,45.359237,"Courageous, Dignified, Profoundly Loyal","Dental problems, eye problems, skin allergies"
Portuguese Sheepdog,12.5,48.26,21.88583185,"Intelligent, Devoted, Lively","Hip dysplasia, cancer, skin allergies"
Dogo Argentino,12,64.135,42.63768278,"Friendly, Cheerful, Humble","Dental problems, eye problems, skin allergies"
Nova Scotia Duck Tolling Retriever,13,48.26,19.27767573,"Affectionate, Intelligent, Outgoing","Hip dysplasia, eye problems, cancer"
Tibetan Terrier,15.5,39.37,10.88621688,"Affectionate, Loyal, Sensitive","Eye problems, respiratory issues, obesity"
Canaan Dog,13.5,54.61,20.41165665,"Confident, Alert, Vigilant","Dental problems, eye problems, bladder stones"
Boerboel,10,62.23,79.37866475,"Confident, Intelligent, Calm","Dental problems, eye issues, skin allergies"
Porcelaine,12.5,57.15,26.53515365,"Independent, Energetic, Powerful","Dental problems, eye issues, skin allergies"
Lapponian Herder,12,48.26,31.7514659,"Friendly, Energetic, Intelligent","Hip dysplasia, eye problems, cancer"
American Foxhound,12,58.42,29.48350405,"Independent, Easy-Going, Sweet-Tempered","Dental problems, eye problems, obesity"
Australian Shepherd,13.5,52.07,23.81359943,"Smart, Work-Oriented, Exuberant","Hip dysplasia, cancer, skin allergies"
Weimaraner,11.5,63.5,32.88544683,"Friendly, Fearless, Obedient","Dental problems, eye issues, skin allergies"
Golden Retriever,11,57.785,29.48350405,"Friendly, Intelligent, Devoted","Dental problems, eye problems, skin allergies"
Wirehaired Vizsla,13,59.055,24.94758035,"Gentle, Loyal, Trainable","Dental problems, eye issues, skin allergies"
Belgian Tervuren,13,60.96,27.2155422,"Courageous, Alert, Intelligent","Eye problems, respiratory issues, skin allergies"
Pekingese,13,19.05,6.35029318,"Affectionate, Loyal, Regal in Manner","Dental problems, eye issues, skin allergies"
Norwegian Buhund,13.5,43.815,14.96854821,"Confident, Smart, Perceptive","Dental problems, eye issues, skin allergies"
Cirneco dell’Etna,13,45.72,9.752235955,"Affectionate, Friendly, Independent","Dental problems, respiratory issues, eye problems"
Russian Tsvetnaya Bolonka,14,24.13,3.515340868,"Playful, Charming, Inquisitive","Eye problems, respiratory issues, obesity"
Bulldog,9,36.83,20.41165665,"Friendly, Courageous, Calm","Hip dysplasia, epilepsy, bladder stones"
Welsh Springer Spaniel,13.5,45.72,20.41165665,"Happy, Reserved, Upbeat","Dental problems, eye issues, skin allergies"
Bracco Italiano,12,60.96,32.88544683,"Affectionate, Intelligent, Enthusiastic","Dental problems, ear infections, obesity"
West Highland White Terrier,14,26.67,7.937866475,"Loyal, Happy, Entertaining","Dental problems, eye issues, skin allergies"
Cavalier King Charles Spaniel,13.5,31.75,7.030681735,"Affectionate, Gentle, Graceful","Dental problems, eye problems, obesity"
Rottweiler,9.5,62.23,48.76117978,"Loyal, Loving, Confident Guardian","Dental problems, eye problems, skin allergies"
Lapponian Herder,12,48.26,31.7514659,"Friendly, Energetic, Intelligent","Dental problems, eye issues, skin allergies"
Bohemian Shepherd,13.5,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Dental problems, eye issues, skin allergies"
Caucasian Shepherd Dog,11,67.31,61.00817377,"Fearless, Bold, Kind","Hip dysplasia, eye problems, skin allergies"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Hip dysplasia, heart conditions, cancer"
Eurasier,14,54.61,24.94758035,"Confident, Calm, Family-Oriented","Hip dysplasia, eye problems, epilepsy"
Whippet,13.5,50.8,14.74175203,"Affectionate, Playful, Calm","Dental problems, eye issues, skin allergies"
Bernese Mountain Dog,8.5,64.135,41.95729423,"Good-Natured, Calm, Strong","Dental problems, eye issues, skin allergies"
Perro de Presa Canario,10,60.96,43.99845989,"Confident, Calm, Strong-Willed","Hip dysplasia, eye problems, heart conditions"
Irish Terrier,14,45.72,11.79340162,"Bold, Dashing, Tenderhearted","Dental problems, eye issues, skin allergies"
Norfolk Terrier,14,24.13,5.216312255,"Fearless, Alert, Fun-Loving","Dental problems, eye issues, skin allergies"
Shikoku,11,49.53,20.41165665,"Energetic, Alert, Enthusiastic","Dental problems, eye issues, skin allergies"
Braque du Bourbonnais,11,52.705,19.95806428,"Affectionate, Adaptable, Gentle","Hip dysplasia, eye problems, skin allergies"
Havanese,15,25.4,4.5359237,"Intelligent, Outgoing, Funny","Dental problems, eye issues, skin allergies"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Hip dysplasia, eye problems, cancer"
Manchester Terrier (Standard),16,39.37,7.71107029,"Spirited, Bright, Keenly Observant","Dental problems, eye issues, skin allergies"
Thai Ridgeback,12.5,55.88,24.94758035,"Loyal, Independent, Agile","Hip dysplasia, eye problems, skin allergies"
Basenji,13.5,41.91,10.43262451,"Independent, Smart, Poised","Skin allergies, eye problems, hip dysplasia"
Scottish Deerhound,9.5,76.2,41.95729423,"Gentle, Dignified, Polite","Dental problems, eye issues, skin allergies"
Field Spaniel,12.5,44.45,19.27767573,"Sweet, Fun-Loving, Sensitive","Dental problems, eye issues, skin allergies"
Hokkaido,13.5,48.26,24.94758035,"Dignified, Alert, Devoted","Breathing problems, eye problems, hip dysplasia"
Norwegian Elkhound,13.5,50.8,23.36000706,"Friendly, Confident, Dependable","Dental problems, eye issues, skin allergies"
Treeing Walker Coonhound,12.5,59.69,27.2155422,"Smart, Brave, Courteous","Dental problems, eye issues, skin allergies"
Weimaraner,11.5,63.5,32.88544683,"Friendly, Fearless, Obedient","Dental problems, respiratory issues, eye problems"
Australian Cattle Dog,14,46.99,19.27767573,"Alert, Curious, Pleasant","Hip dysplasia, eye problems, cancer"
Irish Red and White Setter,13,61.595,21.54563758,"Courageous, Spirited, Determined","Hip dysplasia, epilepsy, bladder stones"
Plott Hound,13,57.15,22.6796185,"Loyal, Alert, Intelligent","Hip dysplasia, heart conditions, cancer"
Portuguese Podengo Pequeno,13.5,25.4,4.98951607,"Playful, Charming, Lively","Hip dysplasia, heart conditions, cancer"
Chesapeake Bay Retriever,11.5,59.69,30.61748498,"Affectionate, Bright, Sensitive","Dental problems, eye issues, skin allergies"
Stabyhoun,14,50.8,22.6796185,"Intelligent, Responsive, Loving","Dental problems, respiratory issues, eye problems"
Beagle,12.5,35.56,9,"Friendly, Curious, Merry","Dental problems, eye issues, skin allergies"
Dalmatian,12,54.61,26.08156128,"Dignified, Smart, Outgoing","Dental problems, eye issues, skin allergies"
Russian Toy,13,24.13,2.948350405,"Loyal, Smart, Charming","Hip dysplasia, cancer, skin allergies"
Giant Schnauzer,13.5,64.77,31.7514659,"Loyal, Alert, Trainable","Hip dysplasia, cancer, skin allergies"
Basenji,13.5,41.91,10.43262451,"Independent, Smart, Poised","Hip dysplasia, cancer, elbow dysplasia"
Portuguese Sheepdog,12.5,48.26,21.88583185,"Intelligent, Devoted, Lively","Dental problems, eye issues, skin allergies"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Hip dysplasia, epilepsy, bladder stones"
Black and Tan Coonhound,11,63.5,39.68933238,"Easy-Going, Bright, Brave","Eye problems, respiratory issues, obesity"
German Wirehaired Pointer,15,60.96,27.2155422,"Affectionate, Eager, Enthusiastic","Hip dysplasia, eye problems, cancer"
Transylvanian Hound,12,60.96,24.94758035,"Courageous, Good-Natured, Determined","Hip dysplasia, obesity, ear infections"
Border Terrier,13.5,34.29,6.123496995,"Affectionate, Happy, Plucky","Dental problems, eye issues, skin allergies"
Alaskan Malamute,12,60.96,36.2873896,"Affectionate, Loyal, Playful","Dental problems, eye issues, skin allergies"
Poodle (Toy),14,25.4,2.26796185,"Agile, Intelligent, Self-Confident","Hip dysplasia, eye problems, skin allergies"
Brittany,13,48.26,15.87573295,"Bright, Fun-Loving, Upbeat","Skin allergies, eye problems, hip dysplasia"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Hip dysplasia, heart conditions, cancer"
Finnish Lapphund,13.5,46.99,19.50447191,"Friendly, Alert, Agile","Hip dysplasia, cancer, elbow dysplasia"
Petit Basset Griffon Vendéen,13,35.56,14.74175203,"Alert, Happy, Vivacious","Breathing problems, eye problems, hip dysplasia"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, eye problems, bladder stones"
Boxer,11,59.055,21.54563758,"Bright, Fun-Loving, Active","Dental problems, eye issues, skin allergies"
Miniature American Shepherd,12.5,39.37,13.6077711,"Good-Natured, Intelligent, Devoted","Dental problems, eye issues, skin allergies"
Lancashire Heeler,13.5,27.94,5.89670081,"Affectionate, Versatile, Intelligent","Dental problems, eye issues, skin allergies"
Norwich Terrier,13.5,25.4,5.44310844,"Affectionate, Alert, Curious","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,10,64.77,35.15340868,"Affectionate, Dignified, Even-Tempered","Dental problems, eye issues, skin allergies"
Tibetan Terrier,15.5,39.37,10.88621688,"Affectionate, Loyal, Sensitive","Ear infections, hip dysplasia, epilepsy"
Manchester Terrier (Standard),16,39.37,7.71107029,"Spirited, Bright, Keenly Observant","Hip dysplasia, eye problems, cancer"
Tibetan Mastiff,11,63.5,49.8951607,"Independent, Reserved, Intelligent","Dental problems, eye problems, skin allergies"
English Cocker Spaniel,13,40.64,13.6077711,"Energetic, Merry, Responsive","Dental problems, eye issues, skin allergies"
Entlebucher Mountain Dog,12,46.99,23.81359943,"Loyal, Smart, Enthusiastic","Dental problems, eye issues, skin allergies"
Chinese Crested,15.5,30.48,4.5359237,"Affectionate, Alert, Lively","Dental problems, eye issues, skin allergies"
Shiba Inu,14.5,38.1,9.0718474,"Alert, Active, Attentive","Dental problems, eye issues, skin allergies"
American Eskimo Dog,14,35.56,9.298643585,"Playful, Perky, Smart","Dental problems, skin allergies, hip dysplasia"
Norwegian Lundehund,13.5,34.29,11.33980925,"Loyal, Energetic, Alert","Dental problems, respiratory issues, eye problems"
Portuguese Podengo Pequeno,13.5,25.4,4.98951607,"Playful, Charming, Lively","Hip dysplasia, elbow dysplasia, pancreatitis"
Australian Shepherd,13.5,52.07,23.81359943,"Smart, Work-Oriented, Exuberant","Hip dysplasia, eye problems, hereditary myopathy"
Swedish Vallhund,13.5,32.0675,12.47379018,"Friendly, Energetic, Watchful","Dental problems, ear infections, obesity"
Anatolian Shepherd Dog,12,71.12,52.16312255,"Loyal, Independent, Reserved","Hip dysplasia, cancer, heart conditions"
Braque Francais Pyrenean,12.54054312,52.705,21.54563758,"Friendly, Smart, Willing to Please","Dental problems, skin allergies, hip dysplasia"
Slovensky Kopov,12.5,45.72,17.46330625,"Courageous, Alert, Determined","Hip dysplasia, eye problems, epilepsy"
French Bulldog,11,30.48,12.70058636,"Adaptable, Playful, Smart","Dental problems, eye issues, skin allergies"
Basenji,13.5,41.91,10.43262451,"Independent, Smart, Poised","Dental problems, eye issues, skin allergies"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, eye problems, bladder stones"
Toy Fox Terrier,14,25.4,2.381359943,"Friendly, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Cocker Spaniel,12,36.83,11.33980925,"Gentle, Smart, Happy","Dental problems, respiratory issues, eye problems"
Maltese,13.5,20.32,3.17514659,"Gentle, Playful, Charming","Hip dysplasia, epilepsy, bladder stones"
Anatolian Shepherd Dog,12,71.12,52.16312255,"Loyal, Independent, Reserved","Dental problems, eye issues, skin allergies"
Briard,12,62.23,35.15340868,"Confident, Smart, Faithful","Dental problems, eye issues, skin allergies"
Redbone Coonhound,13.5,60.96,26.08156128,"Even-Tempered, Amiable, Eager to Please","Dental problems, eye issues, skin allergies"
German Shorthaired Pointer,11,58.42,26.08156128,"Friendly, Smart, Willing to Please","Hip dysplasia, eye problems, cancer"
Great Dane,8.5,76.2,64.63691273,"Friendly, Patient, Dependable","Dental problems, eye issues, skin allergies"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Hip dysplasia, eye problems, skin allergies"
Great Pyrenees,11,72.39,41.95729423,"Smart, Patient, Calm","Hip dysplasia, eye problems, cancer"
Border Terrier,13.5,34.29,6.123496995,"Affectionate, Happy, Plucky","Dental problems, eye issues, skin allergies"
Coton de Tulear,17,25.4,5.216312255,"Charming, Bright, Happy-Go-Lucky","Hip dysplasia, cancer, heart conditions"
Puli,12.5,41.91,13.6077711,"Loyal, Smart, Home-Loving","Hip dysplasia, eye problems, heart conditions"
